"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
109,10,1.98943678864869,20.712404,10.715226,7,21.917275,20.954555,19.495668,19.495452,20.125497,20.621003,21.911616,NA,NA,NA,NA,10.827671,11.762534,11.293269,10.374878,9.113722,8.799648,9.528541,NA,NA,NA,NA
110,10,1.98943678864869,21.31331,0.045459,5,20.053789,19.431503,19.247761,23.020379,23.02043,NA,NA,NA,NA,NA,NA,1.068096,0.396521,0,0,0.009725,NA,NA,NA,NA,NA,NA
111,10,1.98943678864869,18.221772,12.178749,4,18.09562,17.659888,17.895023,18.552353,NA,NA,NA,NA,NA,NA,NA,13.000396,12.160183,11.433462,11.459023,NA,NA,NA,NA,NA,NA,NA
112,10,1.98943678864869,21.488903,16.736031,8,23.059734,20.673032,20.635488,20.441685,20.559562,20.642675,22.974574,22.977501,NA,NA,NA,17.15281,17.565352,17.554938,17.349954,15.86158,15.812359,16.521834,16.526577,NA,NA,NA
113,10,1.98943678864869,24.183403,15.030451,7,24.81941,24.634166,24.238941,23.620691,23.994494,24.230239,24.639526,NA,NA,NA,NA,14.685249,15.127589,15.472381,14.637065,13.784096,13.760731,14.126443,NA,NA,NA,NA
114,10,1.98943678864869,15.69286,9.054631,7,15.875971,14.480113,14.477631,14.472393,14.409972,15.404233,15.743842,NA,NA,NA,NA,10.031331,10.88721,10.883786,10.874658,10.12454,8.695952,8.481713,NA,NA,NA,NA
115,10,1.98943678864869,18.27866,10.7158,7,19.495668,19.425192,18.552353,17.895023,17.454825,17.504263,19.495452,NA,NA,NA,NA,11.293269,11.368243,11.459023,11.433462,11.010887,9.991171,10.374878,NA,NA,NA,NA
116,10,1.98943678864869,24.250182,10.747534,6,24.326934,23.674446,23.663789,23.744237,23.815557,24.917615,NA,NA,NA,NA,NA,11.267754,11.319634,11.302829,9.180705,9.147801,10.063116,NA,NA,NA,NA,NA
117,10,1.98943678864869,24.72783,0.027617,6,25.734078,25.550333,23.055555,23.02043,23.020379,26.004279,NA,NA,NA,NA,NA,1.176662,1.270124,0.113292,0.009725,0,0,NA,NA,NA,NA,NA
118,10,1.98943678864869,13.968592,7.113319,7,15.384238,14.771792,12.925321,12.639963,12.634387,13.91312,14.532499,NA,NA,NA,NA,6.852802,7.501203,7.946763,7.815052,7.11054,5.223103,5.381339,NA,NA,NA,NA
119,10,1.98943678864869,18.437464,12.242662,5,19.243629,18.138453,18.09562,18.552353,19.425192,NA,NA,NA,NA,NA,NA,12.720256,13.120454,13.000396,11.459023,11.368243,NA,NA,NA,NA,NA,NA
120,10,1.98943678864869,19.504159,16.578843,6,20.441685,18.56667,18.140654,19.775559,20.353769,20.559562,NA,NA,NA,NA,NA,17.349954,17.629678,17.12782,15.769397,15.784078,15.86158,NA,NA,NA,NA,NA
121,10,1.98943678864869,23.800392,7.13444,5,25.139963,24.137255,23.059854,23.770683,25.134387,NA,NA,NA,NA,NA,NA,7.815052,8.593836,7.056132,6.206395,7.11054,NA,NA,NA,NA,NA,NA
122,10,1.98943678864869,14.233877,8.212703,4,13.626708,12.925321,14.771792,14.752807,NA,NA,NA,NA,NA,NA,NA,8.77764,7.946763,7.501203,7.771136,NA,NA,NA,NA,NA,NA,NA
123,10,1.98943678864869,24.861147,11.469518,5,27.180546,25.147909,24.399631,26.977631,26.980113,NA,NA,NA,NA,NA,NA,11.92361,12.528429,11.30967,10.883786,10.88721,NA,NA,NA,NA,NA,NA
124,10,1.98943678864869,24.333353,11.793566,6,25.147909,24.99466,23.598485,23.674446,24.326934,24.399631,NA,NA,NA,NA,NA,12.528429,12.627823,11.867487,11.319634,11.267754,11.30967,NA,NA,NA,NA,NA
125,10,1.98943678864869,13.530469,14.393146,4,13.608178,13.544059,13.114084,14.398613,NA,NA,NA,NA,NA,NA,NA,15.126525,15.130636,14.078175,13.227707,NA,NA,NA,NA,NA,NA,NA
126,10,1.98943678864869,18.927647,7.899461,8,20.621003,20.125497,17.389719,17.269016,17.776577,18.661019,19.078253,20.61555,NA,NA,NA,8.799648,9.113722,8.416185,8.094185,7.344771,6.244973,6.136365,7.066786,NA,NA,NA
127,10,1.98943678864869,17.377543,18.384079,7,17.546331,16.37777,16.418398,17.933072,18.140654,18.56667,18.571162,NA,NA,NA,NA,20,20,16.942863,16.998708,17.12782,17.629678,18.097918,NA,NA,NA,NA
128,10,1.98943678864869,23.821727,19.251406,7,25.936027,26.131965,22.260406,22.376319,23.35434,23.610424,25.791671,NA,NA,NA,NA,19.100821,20,20,19.365517,17.621594,17.67868,18.873175,NA,NA,NA,NA
129,10,1.98943678864869,18.08712,4.670471,7,19.272151,19.078253,18.661019,17.273728,17.013563,17.154097,18.415222,NA,NA,NA,NA,5.200937,6.136365,6.244973,5.331269,4.906213,4.073108,3.448578,NA,NA,NA,NA
130,10,1.98943678864869,22.950053,14.489952,7,23.620691,22.922973,22.072119,22.029953,22.247403,22.948591,23.994494,NA,NA,NA,NA,14.637065,15.406509,13.605423,13.434826,13.350158,13.259814,13.784096,NA,NA,NA,NA
131,10,1.98943678864869,21.719945,18.072691,5,22.376319,21.213168,20.673032,23.059734,23.35434,NA,NA,NA,NA,NA,NA,19.365517,18.236316,17.565352,17.15281,17.621594,NA,NA,NA,NA,NA,NA
132,10,1.98943678864869,22.638189,12.069482,4,22.948591,22.247403,22.341176,23.335855,NA,NA,NA,NA,NA,NA,NA,13.259814,13.350158,11.582459,12.157027,NA,NA,NA,NA,NA,NA,NA
133,10,1.98943678864869,17.351354,12.630146,7,18.138453,17.848876,17.475541,15.234968,15.137902,17.659888,18.09562,NA,NA,NA,NA,13.120454,13.590261,13.690078,12.818655,12.667529,12.160183,13.000396,NA,NA,NA,NA
