"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y"
124,1,0.795774715459477,5.869709,3.145114,5,5.827364,5.656008,5.642279,6.056653,6.42412,NA,NA,NA,NA,NA,NA,3.408181,3.390086,2.416757,1.931837,2.493116,NA,NA,NA,NA,NA,NA
125,1,0.795774715459477,6.454653,15.749247,6,6.564859,6.541071,5.555751,5.544741,6.414446,6.934856,NA,NA,NA,NA,NA,16.42625,16.435829,16.334654,16.317496,15.18892,15.40461,NA,NA,NA,NA,NA
126,1,0.795774715459477,6.86869,9.512688,6,7.356018,6.982596,6.449052,6.389249,6.857439,7.479888,NA,NA,NA,NA,NA,9.905262,10.005903,9.826328,9.109661,8.865132,9.477,NA,NA,NA,NA,NA
127,1,0.795774715459477,5.006123,9.960754,6,5.625672,4.866231,4.386639,4.506722,4.718758,5.40506,NA,NA,NA,NA,NA,10.115734,10.567543,9.964234,9.568638,9.412342,9.539636,NA,NA,NA,NA,NA
128,1,0.795774715459477,6.48879,4.494749,7,6.428702,5.731015,5.503094,5.575058,6.39612,7.114292,7.123501,NA,NA,NA,NA,5.106947,5.118579,4.755089,4.558581,3.88312,4.276644,4.611202,NA,NA,NA,NA
129,1,0.795774715459477,9.363233,4.779169,5,9.405968,8.893339,8.634836,9.184024,10.249254,NA,NA,NA,NA,NA,NA,5.27813,5.227721,4.790825,4.054162,4.742588,NA,NA,NA,NA,NA,NA
130,1,0.795774715459477,7.001265,12.042948,6,7.570418,7.141683,6.691717,6.432916,6.772481,6.877334,NA,NA,NA,NA,NA,12.014257,12.676245,12.588062,11.824762,11.241506,11.250328,NA,NA,NA,NA,NA
131,1,0.795774715459477,7.654192,11.450573,5,7.913237,7.570418,6.877334,7.948117,7.967342,NA,NA,NA,NA,NA,NA,11.975795,12.014257,11.250328,10.668452,10.672297,NA,NA,NA,NA,NA,NA
132,1,0.795774715459477,8.497543,2.273697,5,8.971583,8.60885,7.864516,7.87987,8.238297,NA,NA,NA,NA,NA,NA,2.333634,2.935539,2.527717,1.838919,1.524605,NA,NA,NA,NA,NA,NA
133,1,0.795774715459477,7.11932,0.366113,7,7.746952,7.213694,5.636243,5.436124,5.205491,5.2141,7.65614,NA,NA,NA,NA,0.552279,0.824435,0.850165,0.589782,0.17281,0,0,NA,NA,NA,NA
134,1,0.795774715459477,5.614556,12.787349,6,6.001685,5.802782,5.366154,5.023284,5.583283,6.209687,NA,NA,NA,NA,NA,13.524702,13.580688,13.550022,12.934218,12.248651,12.954366,NA,NA,NA,NA,NA
135,1,0.795774715459477,8.278925,18.43826,7,8.759939,8.544454,8.139038,8.00596,8.719178,9.023771,9.057237,NA,NA,NA,NA,18.957036,19.091204,18.970653,18.144159,17.810941,18.078501,18.199559,NA,NA,NA,NA
