"id_cell","Layer","radius","centroidx","centroidy","n_vertices","vert1x","vert2x","vert3x","vert4x","vert5x","vert6x","vert7x","vert8x","vert9x","vert10x","vert11x","vert1y","vert2y","vert3y","vert4y","vert5y","vert6y","vert7y","vert8y","vert9y","vert10y","vert11y","iteration"
124,1,0.795774715459477,5.627775,3.468847,6,5.710153,5.364532,5.331512,5.549267,6.142787,6.501075,NA,NA,NA,NA,NA,3.672758,3.36912,2.868142,2.644705,2.362448,2.887631,NA,NA,NA,NA,NA,1
125,1,0.795774715459477,6.358904,15.161139,6,5.408697,5.161462,5.258933,6.331519,6.475036,6.773505,NA,NA,NA,NA,NA,16.141786,15.812837,15.679727,14.707539,14.679113,15.198624,NA,NA,NA,NA,NA,1
126,1,0.795774715459477,6.93057,9.07791,5,7.353183,6.939329,6.567821,6.572046,7.072842,NA,NA,NA,NA,NA,NA,9.573275,9.62171,9.507573,9.312195,8.905818,NA,NA,NA,NA,NA,NA,1
127,1,0.795774715459477,5.01214,10.238811,5,5.312394,5.002549,4.060871,4.138528,4.716692,NA,NA,NA,NA,NA,NA,10.316151,10.892468,10.210746,9.951006,9.432264,NA,NA,NA,NA,NA,NA,1
128,1,0.795774715459477,6.859541,4.22296,5,6.801144,5.884927,5.823168,6.789694,7.12116,NA,NA,NA,NA,NA,NA,5.058357,5.228922,5.132682,3.171788,3.257594,NA,NA,NA,NA,NA,NA,1
129,1,0.795774715459477,9.292798,4.604011,4,10.260701,9.32597,8.898155,8.962357,NA,NA,NA,NA,NA,NA,NA,4.942925,5.175436,4.242295,4.182098,NA,NA,NA,NA,NA,NA,NA,1
130,1,0.795774715459477,6.701745,11.91424,7,7.138473,6.959534,6.354507,6.006543,5.992672,6.347342,6.847175,NA,NA,NA,NA,11.907549,12.30282,12.29153,11.97225,11.655432,11.291939,11.250524,NA,NA,NA,NA,1
131,1,0.795774715459477,7.436672,11.588403,8,7.989687,7.773604,7.138473,6.847175,7.300582,7.932598,8.112549,8.180666,NA,NA,NA,11.532164,11.922222,11.907549,11.250524,10.856298,10.688869,10.766901,11.069012,NA,NA,NA,1
132,1,0.795774715459477,7.997829,1.541288,8,8.689501,7.824304,7.755241,7.834504,7.84382,8.459653,9.364984,9.272165,NA,NA,NA,1.392894,2.037839,1.978807,1.082198,1.055161,0.662053,0.351839,0.700393,NA,NA,NA,1
133,1,0.795774715459477,7.467707,0.710812,4,7.84382,5.962837,5.519242,8.459653,NA,NA,NA,NA,NA,NA,NA,1.055161,0.922308,0.099899,0.662053,NA,NA,NA,NA,NA,NA,NA,1
134,1,0.795774715459477,5.931088,12.85591,8,5.858367,5.623351,5.584688,5.158407,5.137435,5.124401,5.44001,6.189524,NA,NA,NA,13.602242,13.644034,13.636401,13.502125,13.455587,12.765683,12.542724,12.854228,NA,NA,NA,1
135,1,0.795774715459477,9.136867,18.572304,6,9.328866,9.107418,8.607052,8.644842,8.951585,9.220784,NA,NA,NA,NA,NA,19.20858,19.266929,19.043741,18.151925,18.070899,18.202426,NA,NA,NA,NA,NA,1
136,1,0.795774715459477,8.342334,11.961848,5,8.678103,8.526647,7.989687,8.180666,8.65137,NA,NA,NA,NA,NA,NA,11.793812,12.365386,11.532164,11.069012,11.533546,NA,NA,NA,NA,NA,NA,1
137,1,0.795774715459477,9.075558,11.218885,5,9.379796,8.65137,8.180666,8.112549,8.922691,NA,NA,NA,NA,NA,NA,11.571029,11.533546,11.069012,10.766901,10.323209,NA,NA,NA,NA,NA,NA,1
138,1,0.795774715459477,5.542508,10.523953,6,6.069588,5.044408,5.002549,5.312394,5.734579,6.079327,NA,NA,NA,NA,NA,10.559928,10.975789,10.892468,10.316151,10.161162,10.453035,NA,NA,NA,NA,NA,1
139,1,0.795774715459477,8.610249,19.752928,6,9.019349,7.287878,7.313249,7.372887,8.607052,9.107418,NA,NA,NA,NA,NA,20,20,19.71476,19.53915,19.043741,19.266929,NA,NA,NA,NA,NA,1
140,1,0.795774715459477,7.056372,10.152836,6,7.932598,7.300582,6.792675,6.939329,7.353183,7.533709,NA,NA,NA,NA,NA,10.688869,10.856298,10.353915,9.62171,9.573275,9.6084,NA,NA,NA,NA,NA,1
141,1,0.795774715459477,9.162473,13.652936,5,9.471572,8.337094,9.030445,10.137435,10.158407,NA,NA,NA,NA,NA,NA,14.554436,13.449947,13.225668,13.455587,13.502125,NA,NA,NA,NA,NA,NA,1
142,1,0.795774715459477,8.235301,12.030824,5,8.526647,8.516366,8.018702,7.773604,7.989687,NA,NA,NA,NA,NA,NA,12.365386,12.454376,12.875073,11.922222,11.532164,NA,NA,NA,NA,NA,NA,1
143,1,0.795774715459477,8.914664,4.777374,6,9.32597,9.26101,8.692224,8.332966,8.232569,8.898155,NA,NA,NA,NA,NA,5.175436,5.221391,5.228347,4.94905,4.488413,4.242295,NA,NA,NA,NA,NA,1
144,1,0.795774715459477,7.732585,5.03501,6,8.332966,8.146301,7.333401,6.932009,7.850796,8.232569,NA,NA,NA,NA,NA,4.94905,5.156291,5.344048,5.048132,4.226498,4.488413,NA,NA,NA,NA,NA,1
145,1,0.795774715459477,7.648598,14.586192,9,8.223464,8.044728,7.946934,7.250304,7.028348,7.054557,7.308797,7.622004,7.746588,NA,NA,14.768682,15.047815,15.084247,14.558534,13.899732,13.775279,13.562807,13.404752,13.392698,NA,NA,1
146,1,0.795774715459477,8.946781,9.051417,8,9.716692,9.138528,9.131458,8.143141,8.172153,8.282848,9.190725,10.079035,NA,NA,NA,9.432264,9.951006,9.943553,8.700203,8.322088,8.20191,7.959573,8.89991,NA,NA,NA,1
147,1,0.795774715459477,5.116656,3.502535,5,5.129126,4.338794,4.440251,5.331512,5.364532,NA,NA,NA,NA,NA,NA,4.149778,3.501527,3.251181,2.868142,3.36912,NA,NA,NA,NA,NA,NA,1
148,1,0.795774715459477,7.38615,14.933965,4,7.354635,7.058227,7.250304,7.946934,NA,NA,NA,NA,NA,NA,NA,15.626425,15.303996,14.558534,15.084247,NA,NA,NA,NA,NA,NA,NA,1
149,1,0.795774715459477,8.661569,2.099753,5,9.310675,9.132721,8.360755,8.689501,9.272165,NA,NA,NA,NA,NA,NA,2.086248,2.47369,2.57961,1.392894,0.700393,NA,NA,NA,NA,NA,NA,1
150,1,0.795774715459477,8.415043,17.292168,5,8.832336,8.558197,7.71146,7.927706,8.416938,NA,NA,NA,NA,NA,NA,17.073362,17.564432,17.139517,16.542353,16.43235,NA,NA,NA,NA,NA,NA,1
151,1,0.795774715459477,7.421615,12.240125,7,8.018702,7.840481,7.746588,7.622004,6.959534,7.138473,7.773604,NA,NA,NA,NA,12.875073,13.339933,13.392698,13.404752,12.30282,11.907549,11.922222,NA,NA,NA,NA,1
152,1,0.795774715459477,9.38457,11.105687,7,10.08065,9.69013,9.379796,8.922691,9.060871,10.002549,10.044408,NA,NA,NA,NA,11.291805,11.706949,11.571029,10.323209,10.210746,10.892468,10.975789,NA,NA,NA,NA,1
153,1,0.795774715459477,7.188749,6.614928,6,7.750471,7.377707,6.413087,7.799809,7.901436,8.021249,NA,NA,NA,NA,NA,7.022157,7.094468,6.246774,6.190308,6.245891,6.372653,NA,NA,NA,NA,NA,1
154,1,0.795774715459477,6.223986,9.062629,8,6.572046,6.567821,6.464212,5.628673,5.097147,5.517416,6.445857,6.528335,NA,NA,NA,9.312195,9.507573,9.549131,9.388492,8.899433,8.595382,8.642802,8.77543,NA,NA,NA,1
155,1,0.795774715459477,5.353395,10.008819,6,5.734579,5.312394,4.716692,5.079035,5.097147,5.628673,NA,NA,NA,NA,NA,10.161162,10.316151,9.432264,8.89991,8.899433,9.388492,NA,NA,NA,NA,NA,1
156,1,0.795774715459477,5.497331,3.617327,4,5.406258,5.129126,5.364532,5.710153,NA,NA,NA,NA,NA,NA,NA,4.580527,4.149778,3.36912,3.672758,NA,NA,NA,NA,NA,NA,NA,1
157,1,0.795774715459477,6.594492,10.619795,7,7.300582,6.847175,6.347342,6.069588,6.079327,6.252581,6.792675,NA,NA,NA,NA,10.856298,11.250524,11.291939,10.559928,10.453035,10.3224,10.353915,NA,NA,NA,NA,1
158,1,0.795774715459477,7.593171,1.505515,3,7.755241,7.150769,7.834504,NA,NA,NA,NA,NA,NA,NA,NA,1.978807,1.798976,1.082198,NA,NA,NA,NA,NA,NA,NA,NA,1
159,1,0.795774715459477,8.310025,5.555119,7,8.512974,8.042726,8.021249,7.901436,8.146301,8.332966,8.692224,NA,NA,NA,NA,6.158548,6.370952,6.372653,6.245891,5.156291,4.94905,5.228347,NA,NA,NA,NA,1
160,1,0.795774715459477,7.034151,4.25399,5,7.850796,6.932009,6.801144,7.12116,7.601344,NA,NA,NA,NA,NA,NA,4.226498,5.048132,5.058357,3.257594,3.337321,NA,NA,NA,NA,NA,NA,1
161,1,0.795774715459477,9.56438,5.69581,10,10.843844,10.663944,9.753339,9.235839,9.26101,9.32597,10.260701,10.530769,10.823168,10.884927,NA,6.109204,6.436172,6.274329,5.950053,5.221391,5.175436,4.942925,4.929261,5.132682,5.228922,NA,1
162,1,0.795774715459477,6.468017,17.901882,4,6.971963,5.666379,5.55842,6.62554,NA,NA,NA,NA,NA,NA,NA,18.547757,18.29146,17.172757,17.481703,NA,NA,NA,NA,NA,NA,NA,1
163,1,0.795774715459477,7.295329,8.924706,8,7.685017,7.533709,7.353183,7.072842,7.059305,7.501069,8.172153,8.143141,NA,NA,NA,9.424877,9.6084,9.573275,8.905818,8.838814,8.277975,8.322088,8.700203,NA,NA,NA,1
164,1,0.795774715459477,6.661973,15.599698,7,7.337683,6.500231,5.516304,5.408697,6.773505,7.058227,7.354635,NA,NA,NA,NA,16.042757,16.328225,16.36566,16.141786,15.198624,15.303996,15.626425,NA,NA,NA,NA,1
165,1,0.795774715459477,8.254352,17.612381,5,8.622655,7.657094,7.5938,7.71146,8.558197,NA,NA,NA,NA,NA,NA,18.135134,17.9926,17.311911,17.139517,17.564432,NA,NA,NA,NA,NA,NA,1
166,1,0.795774715459477,6.267915,8.202554,4,6.445857,5.517416,5.964719,6.755329,NA,NA,NA,NA,NA,NA,NA,8.642802,8.595382,7.569745,8.169732,NA,NA,NA,NA,NA,NA,NA,1
167,1,0.795774715459477,7.423039,1.343226,5,7.150769,6.200896,5.962837,7.84382,7.834504,NA,NA,NA,NA,NA,NA,1.798976,1.73632,0.922308,1.055161,1.082198,NA,NA,NA,NA,NA,NA,1
168,1,0.795774715459477,8.831553,6.70975,5,9.111063,9.058199,8.042726,8.512974,8.58294,NA,NA,NA,NA,NA,NA,6.64159,7.318655,6.370952,6.158548,6.164901,NA,NA,NA,NA,NA,NA,1
169,1,0.795774715459477,5.421235,14.474519,8,5.464541,5.258933,5.161462,4.859591,4.457694,4.471572,5.158407,5.584688,NA,NA,NA,15.091507,15.679727,15.812837,15.653391,14.680335,14.554436,13.502125,13.636401,NA,NA,NA,1
170,1,0.795774715459477,9.376607,6.752307,6,9.249479,9.058199,9.111063,9.753339,10.663944,10.655719,NA,NA,NA,NA,NA,7.789805,7.318655,6.64159,6.274329,6.436172,6.53125,NA,NA,NA,NA,NA,1
171,1,0.795774715459477,6.687427,12.681512,5,7.622004,7.308797,6.347397,6.354507,6.959534,NA,NA,NA,NA,NA,NA,13.404752,13.562807,12.706083,12.29153,12.30282,NA,NA,NA,NA,NA,NA,1
172,1,0.795774715459477,9.202518,16.781858,10,10.453131,9.985458,9.407199,8.832336,8.416938,8.79793,9.859591,10.161462,10.408697,10.516304,NA,16.97541,17.195465,17.328081,17.073362,16.43235,16.041347,15.653391,15.812837,16.141786,16.36566,NA,1
173,1,0.795774715459477,6.716861,17.042358,6,7.127245,6.62554,5.55842,5.453131,5.516304,6.500231,NA,NA,NA,NA,NA,17.27485,17.481703,17.172757,16.97541,16.36566,16.328225,NA,NA,NA,NA,NA,1
174,1,0.795774715459477,6.655776,7.691465,5,7.067207,6.755329,5.964719,5.933159,6.99046,NA,NA,NA,NA,NA,NA,8.081708,8.169732,7.569745,7.073921,7.3988,NA,NA,NA,NA,NA,NA,1
175,1,0.795774715459477,7.381756,7.609878,7,8.282848,8.172153,7.501069,7.067207,6.99046,7.377707,7.750471,NA,NA,NA,NA,8.20191,8.322088,8.277975,8.081708,7.3988,7.094468,7.022157,NA,NA,NA,NA,1
176,1,0.795774715459477,9.460992,17.908909,5,9.519654,9.220784,8.951585,9.407199,9.985458,NA,NA,NA,NA,NA,NA,18.239786,18.202426,18.070899,17.328081,17.195465,NA,NA,NA,NA,NA,NA,1
177,1,0.795774715459477,9.321697,12.886315,6,10.124401,10.137435,9.030445,9.180203,9.41673,9.653316,NA,NA,NA,NA,NA,12.765683,13.455587,13.225668,12.453783,12.321887,12.255231,NA,NA,NA,NA,NA,1
178,1,0.795774715459477,6.949948,14.821573,5,7.058227,6.773505,6.475036,7.028348,7.250304,NA,NA,NA,NA,NA,NA,15.303996,15.198624,14.679113,13.899732,14.558534,NA,NA,NA,NA,NA,NA,1
179,1,0.795774715459477,8.886603,12.106069,5,9.41673,9.180203,8.516366,8.526647,8.678103,NA,NA,NA,NA,NA,NA,12.321887,12.453783,12.454376,12.365386,11.793812,NA,NA,NA,NA,NA,NA,1
180,1,0.795774715459477,9.805036,18.062365,7,10.666379,10.297071,10.281335,9.519654,9.985458,10.453131,10.55842,NA,NA,NA,NA,18.29146,18.89381,18.907002,18.239786,17.195465,16.97541,17.172757,NA,NA,NA,NA,1
181,1,0.795774715459477,7.156249,5.816774,7,7.799809,6.413087,5.843844,5.884927,6.801144,6.932009,7.333401,NA,NA,NA,NA,6.190308,6.246774,6.109204,5.228922,5.058357,5.048132,5.344048,NA,NA,NA,NA,1
182,1,0.795774715459477,8.562573,3.825202,7,8.962357,8.898155,8.232569,7.850796,7.601344,7.80775,9.264673,NA,NA,NA,NA,4.182098,4.242295,4.488413,4.226498,3.337321,3.176109,3.542029,NA,NA,NA,NA,1
